month,day,year,hour,minute,second,lotus date,obs flow,avg DWF,gwi adjustment,adjusted DWF,gwi flow,BWF,iandi,,
3,3,2008,17,45,0,39510.73958,1.044,1.5163,0.0552,1.5715,1.1738,0.3976,-0.5275,,
3,3,2008,18,0,0,39510.75,1.102,1.5515,0.06,1.6115,1.1787,0.4328,-0.5095,,6.034
3,3,2008,18,15,0,39510.76042,1.131,1.5548,0.0648,1.6196,1.1835,0.4361,-0.4886,,
3,3,2008,18,30,0,39510.77083,1.168,1.5473,0.0697,1.617,1.1883,0.4286,-0.449,,
3,3,2008,18,45,0,39510.78125,1.149,1.5871,0.0745,1.6616,1.1932,0.4684,-0.5126,,
3,3,2008,19,0,0,39510.79167,1.297,1.6074,0.0793,1.6868,1.198,0.4888,-0.3898,,
3,3,2008,19,15,0,39510.80208,1.299,1.5775,0.0842,1.6617,1.2028,0.4588,-0.3627,,
3,3,2008,19,30,0,39510.8125,1.218,1.5901,0.089,1.6791,1.2077,0.4715,-0.4611,,
3,3,2008,19,45,0,39510.82292,1.239,1.6187,0.0938,1.7125,1.2125,0.5,-0.4735,,
3,3,2008,20,0,0,39510.83333,1.258,1.5887,0.0987,1.6874,1.2173,0.4701,-0.4294,,
3,3,2008,20,15,0,39510.84375,1.225,1.6025,0.1035,1.706,1.2222,0.4838,-0.481,,
3,3,2008,20,30,0,39510.85417,1.245,1.6284,0.1083,1.7368,1.227,0.5098,-0.4918,,
3,3,2008,20,45,0,39510.86458,1.419,1.6338,0.1132,1.747,1.2318,0.5151,-0.328,,
3,3,2008,21,0,0,39510.875,1.349,1.6376,0.118,1.7556,1.2367,0.5189,-0.4066,,
3,3,2008,21,15,0,39510.88542,1.393,1.6307,0.1228,1.7535,1.2415,0.512,-0.3605,,
3,3,2008,21,30,0,39510.89583,1.712,1.6368,0.1277,1.7645,1.2463,0.5181,-0.0525,,
3,3,2008,21,45,0,39510.90625,1.705,1.6515,0.1325,1.784,1.2512,0.5328,-0.079,,
3,3,2008,22,0,0,39510.91667,1.775,1.6345,0.1373,1.7719,1.256,0.5159,0.0031,,
3,3,2008,22,15,0,39510.92708,2.237,1.6316,0.1422,1.7738,1.2608,0.5129,0.4632,,
3,3,2008,22,30,0,39510.9375,2.167,1.6006,0.147,1.7476,1.2657,0.4819,0.4194,,
3,3,2008,22,45,0,39510.94792,2.844,1.5979,0.1518,1.7497,1.2705,0.4792,1.0943,,
3,3,2008,23,0,0,39510.95833,3.288,1.5544,0.1567,1.711,1.2753,0.4357,1.577,,
3,3,2008,23,15,0,39510.96875,3.841,1.5338,0.1615,1.6953,1.2802,0.4152,2.1457,,
3,3,2008,23,30,0,39510.97917,5.418,1.5557,0.1663,1.722,1.285,0.437,3.696,,
3,3,2008,23,45,0,39510.98958,5.832,1.5111,0.1712,1.6822,1.2898,0.3924,4.1498,,
3,4,2008,0,0,0,39511,4.047,1.3839,0.176,1.5599,1.2947,0.2653,2.4871,,
3,4,2008,0,15,0,39511.01042,5.502,1.3608,0.1808,1.5417,1.2995,0.2422,3.9603,,
3,4,2008,0,30,0,39511.02083,4.803,1.3314,0.1857,1.517,1.3043,0.2127,3.286,,
3,4,2008,0,45,0,39511.03125,6.128,1.3023,0.1905,1.4928,1.3092,0.1836,4.6352,,
3,4,2008,1,0,0,39511.04167,6.589,1.2575,0.1953,1.4528,1.314,0.1388,5.1362,,
3,4,2008,1,15,0,39511.05208,7.463,1.2289,0.2002,1.429,1.3188,0.1102,6.034,,
3,4,2008,1,30,0,39511.0625,7.437,1.2175,0.205,1.4225,1.3237,0.0989,6.0145,,
3,4,2008,1,45,0,39511.07292,7.251,1.2031,0.2098,1.4129,1.3285,0.0844,5.8381,,
3,4,2008,2,0,0,39511.08333,7.112,1.1831,0.2147,1.3978,1.3333,0.0645,5.7142,,
3,4,2008,2,15,0,39511.09375,6.78,1.1776,0.2195,1.3971,1.3382,0.0589,5.3829,,
3,4,2008,2,30,0,39511.10417,6.9,1.156,0.2243,1.3803,1.343,0.0373,5.5197,,
3,4,2008,2,45,0,39511.11458,7.326,1.1558,0.2292,1.385,1.3478,0.0371,5.941,,
3,4,2008,3,0,0,39511.125,7.345,1.1572,0.234,1.3912,1.3527,0.0386,5.9538,,
3,4,2008,3,15,0,39511.13542,7.274,1.1323,0.2388,1.3711,1.3575,0.0136,5.9029,,
3,4,2008,3,30,0,39511.14583,7.029,1.1194,0.2437,1.3631,1.3623,0.0008,5.6659,,
3,4,2008,3,45,0,39511.15625,6.733,1.1204,0.2485,1.3689,1.3672,0.0017,5.3641,,
3,4,2008,4,0,0,39511.16667,6.689,1.1396,0.2533,1.393,1.372,0.021,5.296,,
3,4,2008,4,15,0,39511.17708,6.438,1.1464,0.2582,1.4045,1.3768,0.0277,5.0335,,
3,4,2008,4,30,0,39511.1875,6.238,1.1187,0.263,1.3817,1.3817,0,4.8563,,
3,4,2008,4,45,0,39511.19792,6.025,1.1588,0.2678,1.4266,1.3846,0.042,4.5984,,
3,4,2008,5,0,0,39511.20833,6.222,1.1699,0.2727,1.4426,1.3875,0.0551,4.7794,,
3,4,2008,5,15,0,39511.21875,5.596,1.2035,0.2775,1.481,1.3904,0.0906,4.115,,
3,4,2008,5,30,0,39511.22917,5.716,1.267,0.2823,1.5494,1.3933,0.1561,4.1666,,
3,4,2008,5,45,0,39511.23958,6.239,1.3214,0.2872,1.6086,1.3962,0.2124,4.6304,,
3,4,2008,6,0,0,39511.25,5.736,1.3827,0.292,1.6747,1.3991,0.2756,4.0613,,
3,4,2008,6,15,0,39511.26042,5.614,1.4679,0.2968,1.7647,1.402,0.3627,3.8493,,
3,4,2008,6,30,0,39511.27083,5.519,1.5848,0.3017,1.8865,1.4049,0.4816,3.6325,,
3,4,2008,6,45,0,39511.28125,5.64,1.6511,0.3065,1.9576,1.4078,0.5498,3.6824,,
3,4,2008,7,0,0,39511.29167,5.555,1.7021,0.3113,2.0134,1.4107,0.6027,3.5416,,
3,4,2008,7,15,0,39511.30208,4.948,1.7289,0.3162,2.0451,1.4136,0.6314,2.9029,,
3,4,2008,7,30,0,39511.3125,5.142,1.7505,0.321,2.0715,1.4165,0.6549,3.0705,,
3,4,2008,7,45,0,39511.32292,4.994,1.7029,0.3258,2.0287,1.4194,0.6092,2.9653,,
3,4,2008,8,0,0,39511.33333,4.864,1.6845,0.3307,2.0151,1.4224,0.5928,2.8489,,
3,4,2008,8,15,0,39511.34375,4.411,1.622,0.3355,1.9575,1.4253,0.5322,2.4535,,
3,4,2008,8,30,0,39511.35417,5.208,1.5745,0.3403,1.9148,1.4282,0.4866,3.2932,,
3,4,2008,8,45,0,39511.36458,4.663,1.5665,0.3452,1.9117,1.4311,0.4806,2.7513,,
3,4,2008,9,0,0,39511.375,4.323,1.5646,0.35,1.9146,1.434,0.4806,2.4084,,
3,4,2008,9,15,0,39511.38542,4.498,1.5444,0.3548,1.8992,1.4369,0.4623,2.5988,,
3,4,2008,9,30,0,39511.39583,3.96,1.5568,0.3597,1.9165,1.4398,0.4767,2.0435,,
3,4,2008,9,45,0,39511.40625,3.996,1.5694,0.3645,1.9339,1.4427,0.4912,2.0621,,
3,4,2008,10,0,0,39511.41667,3.734,1.5649,0.3693,1.9342,1.4456,0.4886,1.7998,,
3,4,2008,10,15,0,39511.42708,3.808,1.5292,0.3742,1.9034,1.4485,0.4549,1.9046,,
3,4,2008,10,30,0,39511.4375,4.129,1.5267,0.379,1.9057,1.4514,0.4543,2.2233,,
3,4,2008,10,45,0,39511.44792,3.773,1.5253,0.3838,1.9091,1.4543,0.4548,1.8639,,
3,4,2008,11,0,0,39511.45833,3.418,1.5398,0.3887,1.9284,1.4572,0.4712,1.4896,,
3,4,2008,11,15,0,39511.46875,4.147,1.5451,0.3935,1.9386,1.4601,0.4784,2.2084,,
3,4,2008,11,30,0,39511.47917,3.341,1.4865,0.3983,1.8849,1.463,0.4218,1.4561,,
3,4,2008,11,45,0,39511.48958,3.368,1.498,0.4032,1.9011,1.4659,0.4352,1.4669,,
3,4,2008,12,0,0,39511.5,3.761,1.4999,0.408,1.9079,1.4688,0.439,1.8531,,
3,4,2008,12,15,0,39511.51042,3.821,1.5019,0.4128,1.9148,1.4717,0.443,1.9062,,
3,4,2008,12,30,0,39511.52083,3.403,1.4915,0.4177,1.9092,1.4747,0.4346,1.4938,,
3,4,2008,12,45,0,39511.53125,3.372,1.4829,0.4225,1.9054,1.4776,0.4278,1.4666,,
3,4,2008,13,0,0,39511.54167,3.79,1.4646,0.4273,1.892,1.4805,0.4115,1.898,,
3,4,2008,13,15,0,39511.55208,3.385,1.4613,0.4322,1.8935,1.4834,0.4101,1.4915,,
